,home_planet,cryo_sleep,destination,age,vip,room_service,food_court,shopping_mall,spa,vr_deck,transported,passenger_group,passenger_num,cabin_deck,cabin_num,cabin_side,total_bill,cabin_update
0,Europa,FALSE,TRAPPIST-1e,39.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0001,01,B,0,P,0.0,B/0/P
1,Earth,FALSE,TRAPPIST-1e,24.0,FALSE,109.0,9.0,25.0,549.0,44.0,TRUE,0002,01,F,0,S,736.0,F/0/S
2,Europa,FALSE,TRAPPIST-1e,58.0,TRUE,43.0,3576.0,0.0,6715.0,49.0,FALSE,0003,01,A,0,S,10383.0,A/0/S
3,Europa,FALSE,TRAPPIST-1e,33.0,FALSE,0.0,1283.0,371.0,3329.0,193.0,FALSE,0003,02,A,0,S,5176.0,A/0/S
4,Earth,FALSE,TRAPPIST-1e,16.0,FALSE,303.0,70.0,151.0,565.0,2.0,TRUE,0004,01,F,1,S,1091.0,F/1/S
5,Earth,FALSE,PSO J318.5-22,44.0,FALSE,0.0,483.0,0.0,291.0,0.0,TRUE,0005,01,F,0,P,774.0,F/0/P
6,Earth,FALSE,TRAPPIST-1e,26.0,FALSE,42.0,1539.0,3.0,0.0,0.0,TRUE,0006,01,F,2,S,1584.0,F/2/S
7,Earth,TRUE,TRAPPIST-1e,28.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0006,02,G,0,S,0.0,G/0/S
8,Earth,FALSE,TRAPPIST-1e,35.0,FALSE,0.0,785.0,17.0,216.0,0.0,TRUE,0007,01,F,3,S,1018.0,F/3/S
9,Europa,TRUE,55 Cancri e,14.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0008,01,B,1,P,0.0,B/1/P
10,Europa,TRUE,TRAPPIST-1e,34.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0008,02,B,1,P,0.0,B/1/P
11,Europa,FALSE,55 Cancri e,45.0,FALSE,39.0,7295.0,589.0,110.0,124.0,TRUE,0008,03,B,1,P,8157.0,B/1/P
12,Mars,FALSE,TRAPPIST-1e,32.0,FALSE,73.0,0.0,1123.0,0.0,113.0,TRUE,0009,01,F,1,P,1309.0,F/1/P
13,Earth,FALSE,TRAPPIST-1e,48.0,FALSE,719.0,1.0,65.0,0.0,24.0,FALSE,0010,01,G,1,S,809.0,G/1/S
14,Earth,FALSE,TRAPPIST-1e,28.0,FALSE,8.0,974.0,12.0,2.0,7.0,TRUE,0011,01,F,2,P,1003.0,F/2/P
15,Earth,FALSE,TRAPPIST-1e,31.0,FALSE,32.0,0.0,876.0,0.0,0.0,FALSE,0012,01,F,1046,P,908.0,F/1046/P
16,Mars,FALSE,55 Cancri e,27.0,FALSE,1286.0,122.0,42.417873921397444,0.0,0.0,FALSE,0014,01,F,3,P,1350.9723999048924,F/3/P
17,Earth,FALSE,55 Cancri e,24.0,FALSE,0.0,1.0,0.0,0.0,637.0,FALSE,0015,01,F,4,P,638.0,F/4/P
18,Mars,TRUE,TRAPPIST-1e,45.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0016,01,F,5,P,0.0,F/5/P
19,Earth,FALSE,TRAPPIST-1e,0.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0017,01,G,0,P,0.0,G/0/P
20,Earth,FALSE,55 Cancri e,14.0,FALSE,412.0,0.0,1.0,0.0,679.0,FALSE,0017,02,F,6,P,1092.0,F/6/P
21,Earth,TRUE,TRAPPIST-1e,1.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0020,01,E,0,S,0.0,E/0/S
22,Earth,TRUE,55 Cancri e,49.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0020,02,E,0,S,0.0,E/0/S
23,Earth,TRUE,55 Cancri e,29.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0020,03,E,0,S,0.0,E/0/S
24,Earth,FALSE,TRAPPIST-1e,10.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0020,04,E,0,S,0.0,E/0/S
25,Earth,TRUE,PSO J318.5-22,1.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0020,05,E,0,S,0.0,E/0/S
26,Earth,FALSE,TRAPPIST-1e,7.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0020,06,E,0,S,0.0,E/0/S
27,Mars,FALSE,TRAPPIST-1e,21.0,FALSE,980.0,2.0,69.0,0.0,0.0,FALSE,0022,01,D,0,P,1051.0,D/0/P
28,Europa,TRUE,TRAPPIST-1e,62.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0024,01,C,2,S,0.0,C/2/S
29,Earth,FALSE,TRAPPIST-1e,15.0,FALSE,0.0,225.0,0.0,998.0,0.0,FALSE,0025,01,F,6,S,1223.0,F/6/S
30,Europa,FALSE,55 Cancri e,34.0,FALSE,22.0,6073.0,0.0,1438.0,328.0,FALSE,0026,01,C,0,P,7861.0,C/0/P
31,Mars,FALSE,TRAPPIST-1e,43.0,FALSE,1125.0,0.0,136.0,48.0,0.0,FALSE,0028,01,F,8,P,1309.0,F/8/P
32,Earth,FALSE,TRAPPIST-1e,32.0,FALSE,0.0,850.0,81.0,437.0,453.0,FALSE,0030,01,G,4,S,1821.0,G/4/S
33,Mars,FALSE,TRAPPIST-1e,47.0,FALSE,214.0,0.0,1411.0,0.0,1229.0,TRUE,0031,01,F,9,P,2854.0,F/9/P
34,Mars,FALSE,TRAPPIST-1e,2.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0031,02,F,9,P,0.0,F/9/P
35,Mars,FALSE,TRAPPIST-1e,20.0,FALSE,0.0,0.0,1750.0,990.0,0.0,TRUE,0031,03,F,9,P,1781.5390849535554,F/9/P
36,Europa,TRUE,55 Cancri e,28.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0034,01,D,1,S,0.0,D/1/S
37,Mars,FALSE,55 Cancri e,23.0,FALSE,784.0,964.0,0.0,951.0,0.0,FALSE,0035,01,D,1,P,2699.0,D/1/P
38,Earth,FALSE,55 Cancri e,15.0,FALSE,0.0,492.0,48.0,20.0,401.0,FALSE,0036,01,F,8,S,961.0,F/8/S
39,Earth,FALSE,55 Cancri e,20.0,FALSE,554.0,195.0,0.0,2606.0,0.0,FALSE,0038,01,F,10,S,3355.0,F/10/S
40,Earth,TRUE,55 Cancri e,30.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0039,01,G,1,P,0.0,G/1/P
41,Earth,TRUE,TRAPPIST-1e,17.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0041,01,G,2,P,0.0,G/2/P
42,Europa,FALSE,TRAPPIST-1e,45.0,FALSE,0.0,164.0,45.0,2511.0,855.0,FALSE,0043,01,B,3,P,3575.0,B/3/P
43,Earth,TRUE,TRAPPIST-1e,55.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0044,01,G,3,P,0.0,G/3/P
44,Earth,TRUE,55 Cancri e,4.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0044,02,G,3,P,0.0,G/3/P
45,Earth,TRUE,PSO J318.5-22,21.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0044,03,G,3,P,0.0,G/3/P
46,Mars,FALSE,TRAPPIST-1e,21.0,FALSE,970.0,0.0,180.0,0.0,64.0,FALSE,0045,01,F,10,P,1214.0,F/10/P
47,Mars,TRUE,TRAPPIST-1e,19.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0045,02,F,10,P,0.0,F/10/P
48,Earth,FALSE,55 Cancri e,35.0,FALSE,790.0,0.0,0.0,549.7000647250255,0.0,FALSE,0050,01,E,1,S,1319.1511073744323,E/1/S
49,Earth,FALSE,TRAPPIST-1e,56.0,FALSE,0.0,112.0,0.0,1379.0,127.0,FALSE,0051,01,E,2,S,1618.0,E/2/S
50,Earth,FALSE,TRAPPIST-1e,30.06606103251122,FALSE,4.0,0.0,2.0,4683.0,0.0,FALSE,0052,01,G,6,S,4689.0,G/6/S
51,Earth,FALSE,TRAPPIST-1e,25.0,FALSE,0.0,0.0,1938.0,0.0,1.0,TRUE,0053,01,F,11,S,1939.0,F/11/S
